Year,Term,Course_ID,Course_Name,Course_Description
2018,Fall,AE 412,Viscous Flow & Heat Transfer,"Aerospace Engineering Course.Momentum and thermal transport in wall boundary-layer and free shear flows, solutions to the Navier-Stokes equations for heat conducting laminar and turbulent shear flows; similarity concepts; thermal boundary layers in ducts and high-speed aerodynamic boundary layers. Same as Mechanical Engineering 411. 4 undergraduate hours. 4 graduate hours. Prerequisite: Aerospace Engineering 311 or Mechanical Engineering 310."
2018,Fall,AE 416,Applied Aerodynamics,Aerospace Engineering Course.Two-dimensional and finite wing theory with emphasis on the mechanisms of lift and drag generation; Reynolds number and Mach number effects; drag analysis; high-lift wing systems; propeller and rotor aerodynamics; control surface design; application of V/STOL aerodynamics. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Aerospace Engineering 311.
2018,Fall,AE 420,Finite Element Analysis,"Aerospace Engineering Course.The finite element method and its application to engineering problems: truss and frame structures, heat conduction, and linear elasticity; use of application software; overview of advanced topics such as structural dynamics, fluid flow, and nonlinear structural analysis. Same as Aerospace Engineering 420 and Computer ScienceE 451. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both Mechanical Engineering 471 and Computer ScienceE 451. Prerequisite: Computer Science 101 and Mechanical Engineering 371 or TAM 470. Alternatively, Aerospace Engineering 370 for Aerospace Engineering students."
2018,Fall,AE 428,Mechanics of Composites,"Aerospace Engineering Course.Behavior of composite materials and their use in engineering structures: behavior and properties of the constituent fibers and matrices, micromechanical predictions of composite properties, anisotropic elasticity, behavior of composite laminae, and classical lamination theory; fracture mechanisms, failure theories; behavior of composite plates and beams. Same as Material Science Engineering 456 and TAM 428. 3 undergraduate hours. 3 graduate hours. Prerequisite: Aerospace Engineering 321, Construction Engineering 300, Mechanical Engineering 330, or Material Science Engineering 406."
2018,Fall,AE 433,Aerospace Propulsion,"Aerospace Engineering Course.Fundamentals of rocket and airbreathing jet propulsion devices electric propulsion; prediction of thrust, combustion reactions, specific fuel consumption, and operating performance; ramjets; turbojets; turbofans; turboprops; aerothermodynamics of inlets, combustors, and nozzles; compressors, turbines; component matching, fundamentals of electrothermal, electromagnetic elastostatis thrusters, and solar sails. 3 undergraduate hours. 4 graduate hours. Prerequisite: Aerospace Engineering 312 and Physics 212."
2018,Fall,AE 442,Aerospace Systems Design I,"Aerospace Engineering Course.Principles of systems engineering as they apply to the design process for aerospace flight systems; general design methodology; application of these concepts to the initial sizing of both aircraft and spacecraft systems. Intensive technical writing. 3 undergraduate hours. No graduate credit. Aerospace Engineering 442 and Aerospace Engineering 443 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: Credit or concurrent registration in Aerospace Engineering 311, Aerospace Engineering 323, and Aerospace Engineering 352."
2018,Fall,AE 451,Aeroelasticity,"Aerospace Engineering Course.In-depth examination of aerodynamic and dynamic structural phenomena associated with flexible airplanes and missiles; divergence of linear and nonlinear elastic lifting surfaces; effect of elastic and inelastic deformations on lift distributions and stability; elastic flutter of straight and swept wings; equations of disturbed motion of elastic and inelastic aircraft; dynamic response to forces, gusts, and continuous atmospheric turbulence; creep divergence of lifting surfaces; flutter in the presence of creep; effect of temperature on inelastic divergence and flutter. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Aerospace Engineering 352 or TAM 412; TAM 251."
2018,Fall,AE 456,Global Nav Satellite Systems,"Aerospace Engineering Course.Engineering aspects of space-based navigation systems, such as the Global Positioning System (GPS). Engineering and physical principles on which GPS operates, including orbital dynamics, electromagnetic wave propagation in a plasma, signal encoding, receiver design, error analysis, and numerical methods for obtaining a navigation solution. GPS as a case study for performing an end-to-end analysis of a complex engineering system. Laboratory exercises focus on understanding receiver design and developing a MATLAB-based GPS receiver. Same as Electronics Communication Engineering 456. 4 undergraduate hours. 4 graduate hours. Prerequisite: Electronics Communication Engineering 329 and Electronics Communication Engineering 310 or Aerospace Engineering 352 and Aerospace Engineering 353."
2018,Fall,AE 460,Aerodynamics & Propulsion La,"Aerospace Engineering Course.Theory and application of experimental techniques in aerospace engineering with emphasis on fluid dynamic, aerodynamic, thermal, combustion, and propulsion phenomena. 2 undergraduate hours. No graduate credit. Prerequisite: Aerospace Engineering 311; credit or concurrent registration in Aerospace Engineering 433."
2018,Fall,AE 482,Introduction to Robotics,"Aerospace Engineering Course.Fundamentals of robotics including rigid motions; homogeneous transformations; forward and inverse kinematics; velocity kinematics; motion planning; trajectory generation; sensing, vision; control. Same as Electronics Communication Engineering 470 and Mechanical Engineering 445. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of MATH 225, MATH 286, MATH 415, MATH 418."
2018,Fall,AE 483,Unmanned Aerial Vehicle (UAV) Navigation and Control,"Aerospace Engineering Course.Design, analysis, and application of decision algorithms to modern aerospace systems: global positioning systems, air traffic control systems, unmanned aerial vehicles, imaging and communication satellites, and planetary ground vehicles. 3 undergraduate hours. No graduate credit. Prerequisite: Aerospace Engineering 202, Aerospace Engineering 352, Aerospace Engineering 353, Aerospace Engineering 370, Industrial Engineering 300, and Physics 212."
2018,Fall,AE 497,Independent Study,Aerospace Engineering Course.Independent theoretical and experimental projects in aerospace engineering. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.
2018,Fall,AE 498,Special Topics,Aerospace Engineering Course.Subject offerings of new and developing areas of knowledge in aerospace engineering intended to augment the existing curriculum. See Class Schedule or department course information for topics and prerequisite. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 9 undergraduate hours or 12 graduate hours.
2018,Fall,AE 512,Molecular Gas Dynamics,"Aerospace Engineering Course.The course focuses on the molecular description of physical and chemical processes in gases. The molecular viewpoint is essential to promote the understanding of physical processes occurring at very high temperatures and low pressures. These conditions are typically encountered in high speed and non-equilibrium gas flows. After a brief review of the fundamental concepts of statistical mechanics and chemical thermodynamics, the course focuses on the fundamentals of kinetic theory of gases, equilibrium chemistry, non-equilibrium kinetics and non-thermal radiation. 4 graduate hours. No professional credit. Prerequisite: Aerospace Engineering 311, Aerospace Engineering 312, Mechanical Engineering 300."
2018,Fall,AE 522,Dynamic Response of Materials,"Aerospace Engineering Course.One-dimensional stress waves; three-dimensional longitudinal and shear waves, reflection and refraction of plane waves; Rayleigh and Love waves; wave guides; spherical waves, inelastic wave propagation and shock waves; dynamic fracture and shear bandings of solids; wave propagation in anisotropic media; experimental techniques; acoustic emission, ultrasounds, split Hopkinson (Kolsky) bar, plate impact experiments, optical techniques in dynamic fracture, and high-speed photography. Prerequisite: TAM 451 or TAM 551."
2018,Fall,AE 528,Nonlinear Continuous Media,"Aerospace Engineering Course.Fundamental concepts of large deformations in nonlinear elasticity and inelasticity with applications: generalized tensors, finite deformations, stress-strain relations in terms of strain energy functions, inverse problems, solutions of tension, shear and bending problems, finite plane strain, theory of successive approximations, fiber-reinforced beams, plates and cylinders, thermodynamics of deformable media, stability considerations, and constituent relations for inelasticity. Prerequisite: Aerospace Engineering 321 or TAM 451."
2018,Fall,AE 542,Aerospace Syst Engineering I,"Aerospace Engineering Course.Aerospace systems engineering principles, processes and practices for the definition of spacecraft, aircraft, launch and associated systems, and the application of the systems approach across the development life cycle. Prerequisite: Any of Aerospace Engineering 442, Aerospace Engineering 443, Mechanical Engineering 470, Electronics Communication Engineering 445, Electronics Communication Engineering 411; Computer Science 492, Computer Science 493, or Construction Engineering 465."
2018,Fall,AE 564,Advanced Aero Propulsion La,"Aerospace Engineering Course.Theory and application of advanced diagnostic techniques used in aerodynamics and propulsion research with an emphasis placed on wind tunnel testing and advanced optical and laser-based techniques. Experience with aircraft performance measurement, wind tunnel testing, schlieren/shadowgraph photography, interferometry, spectroscopy, laser Doppler velocimetry, particle and molecular-based scattering, particle image velocimetry, pressure/temperature/shear sensitive paint, and other recently developed techniques provided through lectures and laboratory exercises.Prerequisites: Aerospace Engineering 311, Aerospace Engineering 312, Aerospace Engineering 433, Aerospace Engineering 460."
2018,Fall,AE 590,Seminar,"Aerospace Engineering Course.This is a seminar course.Presentation by graduate students, staff, and guest lecturers of current topics in aerospace engineering. Approved for S/U grading only."
2018,Fall,AE 597,Independent Study,Aerospace Engineering Course.Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.
2018,Fall,AE 598,Special Topics,Aerospace Engineering Course.Subject offerings of new and developing areas of knowledge in aerospace engineering intended to augment existing formal courses. Topics and prerequisites vary for each section. See Class Schedule or departmental course information for both. May be repeated in the same or separate terms if topics vary to a maximum of 12 hours.
2018,Fall,AE 599,Thesis Research,Aerospace Engineering Course. Research in the various areas of aerospace engineering. Approved for S/U grading only. May be repeated.
2018,Fall,BIOE 100,Bioengineering Freshman Seminar,"Bioengineering course.This is a seminar course.Bioengineering Freshman Seminar provides a broad introduction to the field, practice, and curriculum of Bioengineering. The major goals are for students to (1) meet the department faculty, (2) understand the curriculum and the 4-year goals, (3) understand and apply technologies central to the field through individual and group projects, (4) begin independent explorations into technologies in the field, and (5) practice teamwork, technical writing, and presentation. The course is designed for freshman Bioengineering majors. Prerequisite: Bioengineering Freshmen Only."
2018,Fall,BIOE 120,Introduction to Bioengineering,"Bioengineering course.Lectures and discussions of recent trends in bioengineering; topics typically include biological interaction with ultrasound and microwave radiation, modeling, instrumentation, biomaterials, biomechanics, biological heat and mass transfer, and medical imaging techniques."
2018,Fall,BIOE 199,Undergraduate Open Seminar,Bioengineering course.This is a seminar course.Overview of the field Bioengineering. Students complete several hands-on analytical projects like using a pulse oximeter to record their blood oxygenation at different times of the day and taking magnified images of everyday objects and living organisms with their smartphone. They then learn to analyze their data.May be repeated.
2018,Fall,BIOE 200,Bioengineering Career Immersion,"Bioengineering course.This course provides exposure to Bioengineering careers through experiences in medicine, industry, and research. Students will observe professional practices to facilitate problem-based discoveries and technology design. Prerequisite: Bioengineering 120. Majors only."
2018,Fall,BIOE 201,Conservation Principles Bioeng,"Bioengineering course.Material, energy, charge, and momentum balances in biological problems. Steady-state and transient conservation equations for mass, energy, charge, and momentum will be derived and applied to mathematically analyze physiological systems using basic mathematical principles, physical laws, stoichiometry, and thermodynamic properties. Prerequisite: CHEM 104, MCB 150, and Physics 211."
2018,Fall,BIOE 202,Cell & Tissue Engineering La,"Bioengineering course.Principles of cell biology inherent in tissue engineering design. Lab experience in safely and skillfully manipulating cells of the four tissue types and performing various quantitative analyses on products produced by cells that have differentiated. Prerequisite: MCB 150, and credit or concurrent enrollment in Bioengineering 206."
2018,Fall,BIOE 206,Cellular Bioengineering,"Bioengineering course.Molecular and cellular biology focusing on instrumentation and measurement techniques: gene expression, translation, and regulation; cellular energetics and enzyme kinetics; membrane transport and cell signaling; cytoskeleton and the cell cycle; cell biology fundamentals emphasizing modern imaging and measurement systems to quantify cellular function. Credit is not given for both Bioengineering 206 and MCB 252. Prerequisite: MCB 150."
2018,Fall,BIOE 220,Bioenergetics,"Bioengineering course.An integrative view of functional organization and energy transfer in biological systems. Emphasis on dynamics and kinetics of quantum, sub-molecular, and molecular interactions for metabolism. Topics include biomolecules of life, laws of thermodynamics, enzyme kinetics, protein-ligand binding, DNA binding, and modeling of molecular systems. Prerequisite: Bioengineering 201, Bioengineering 206, Computer Science 101, MATH 285, CHEM 232. Departmental approval required for non-majors."
2018,Fall,BIOE 297,Individual Study,Bioengineering course.Special project or reading activity. May be repeated in the same or separate terms to a maximum of 12 hours. Prerequisite: Approved written application to department as specified by department or instructor.
2018,Fall,BIOE 298,Special Topics,Bioengineering course.Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.
2018,Fall,BIOE 302,Modeling Human Physiology,"Bioengineering course.Description, quantification, and modeling of human physiological systems, based on systems fundamentals. Components, relationships, and homeostatic controls of neural, musculoskeletal, respiratory, cardiovascular, endocrine, digestion, and renal-filtration systems. Application of mathematical modeling and MATLAB simulation to further understanding of the systems and relate physiological consequences to changes in environment or component function. Prerequisite: Computer Science 101, Bioengineering 205, MATH 285, and MCB 252 or Bioengineering 206."
2018,Fall,BIOE 303,Quantitative Physiology La,"Bioengineering course.Experiments involving the modeling and measurement of animal and human physiology systems. Use of computer simulations to provide mathematical descriptions of physiology behavior. Calibration and validation of models through hands-on experiments. Focus on quantitative measurement of neural, cardiovascular, respiratory, muscular, and endocrine system functions. Prerequisite: Concurrent enrollment in Bioengineering 302 is allowed."
2018,Fall,BIOE 306,Biofabrication La,"Bioengineering course.Experiments involving design of bioreactors and microfluidic systems, advanced cell culture, and quantitative analysis techniques such as polmerase chain reaction and atomic force microscopy. Laboratory techniques relating to current literature and state of the art in the field of bioengineering. Prerequisite: Bioengineering 202. Departmental approval required for non-majors."
2018,Fall,BIOE 380,Biomedical Imaging,"Bioengineering course.Physics and engineering principles associated with x-ray, computed tomography, nuclear, ultrasound, magnetic resonance, and optical imaging, including human visualization and perception of image data. Same as Electronics Communication Engineering 380. Prerequisite: MATH 285 or MATH 286."
2018,Fall,BIOE 397,Individual Study,Bioengineering course.Special project or reading activity. May be repeated up to 8 hours in a term to a maximum of 12 total hours. Prerequisite: Approved written application to department as specified by department or instructor.
2018,Fall,BIOE 414,Biomedical Instrumentation,"Bioengineering course.Engineering aspects of the detection, acquisition, processing, and display of signals from living systems; biomedical sensors for measurements of biopotentials, ions and gases in aqueous solution, force, displacement, blood pressure, blood flow, heart sounds, respiration, and temperature; therapeutic and prosthetic devices; medical imaging instrumentation. Same as Electronics Communication Engineering 414. 3 undergraduate hours. 3 graduate hours. Prerequisite: Bioengineering 205, Electronics Communication Engineering 205 or Electronics Communication Engineering 210."
2018,Fall,BIOE 415,Biomedical Instrumentation La,Bioengineering lab.Laboratory to accompany Bioengineering 414. use of sensors and medical instrumentation for static and dynamic biological inputs. Measurement of biomedical signals. 2 undergraduate hours. 2 graduate hours. Same as Electronics Communication Engineering 415. Prerequisite: Credit or concurrent registration in Bioengineering 414.
2018,Fall,BIOE 430,Intro Synthetic Biology,"Bioengineering course.Introduction to the field of synthetic biology. Engineering applications of biomolecular systems and cellular capabilities for a variety of application biological background of gene regulation, experimental methods for circuit engineering, and mathematical basis for circuit modeling. Examples in biofuels, biomedicine, and other areas will be discussed. 3 undergraduate hours. 4 graduate hours. Prerequisite: Bioengineering 206 or MCB 252; and MATH 285."
2018,Fall,BIOE 435,Senior Design I,"Bioengineering course.Capstone bioengineering design activity to develop solutions to projects provided by academia, industry, or clinical settings, utilizing principles of design, engineering analysis, and functional operation of engineering systems. Concept-design, safety, human-factors, quality, and Six-Sigma considerations. Initial solution proposals meeting professional technical-writing and communication standards. Concluded in Bioengineering 436. 2 undergraduate hours. No graduate credit. Prerequisite: Bioengineering 414, Bioengineering 415, Bioengineering 302, and Bioengineering 303."
2018,Fall,BIOE 461,Cellular Biomechanics,Bioengineering course.Mechanics of biological cells and tissues: cell structure; mechanics of biomembranes; the cytoskeleton and cortex; dynamic cell processes; cell motility and control of cell shape and proliferation; experimental approaches and theoretical models. Same as TAM 461. 4 undergraduate hours. 4 graduate hours. Prerequisite: TAM 251.
2018,Fall,BIOE 476,Tissue Engineering,"Bioengineering course.Tissue engineering therapies for cell-based, material-based, and therapeutic-based solutions. Stem cells, immunology, and clinical applications. 3 undergraduate hours. 3 graduate hours. Prerequisite: MCB 150 and Bioengineering 206."
2018,Fall,BIOE 480,Magnetic Resonance Imaging,"Bioengineering course.Fundamental physical, mathematical, and computational principles governing the data acquisition and image reconstruction of magnetic resonance imaging. Same as Electronics Communication Engineering 480. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Recommended: Electronics Communication Engineering 310."
2018,Fall,BIOE 482,Musculoskel Tissue Mechanics,"Bioengineering course.Composition-structure-function relationships for musculoskeletal tissues, including bone, tendon, ligament, cartilage, and muscle; hierarchical structure of tissues from the macro- to nano-scales; relation of composition to mechanical properties of health and diseased tissue; experimental methods used to obtain mechanical properties. Same as Mechanical Engineering 482. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: TAM 251."
2018,Fall,BIOE 497,Individual Study,Bioengineering course.Special project or reading activity. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated up to 8 hours in a term to a maximum of 12 total hours. Prerequisite: Approved written application to department as specified by department or instructor.
2018,Fall,BIOE 498,Special Topics,"Bioengineering course.Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 12 hours, but no more than 8 in any one term."
2018,Fall,BIOE 500,Graduate Seminar,Bioengineering course.This is a seminar course.Lecture surveying a broad range of Bioengineering topics. 0 or 1 graduate hours. No professional credit. Approved for S/U grading only. May be repeated to a maximum of 2 hours.
2018,Fall,BIOE 501,Seminar Discussion,Bioengineering course.This is a seminar course.Familiarization with reading and discussing academic journals in Bioengineering. Approved for S/U grading only.
2018,Fall,BIOE 502,Bioengineering Professionalism,"Bioengineering course.Ethical questions and conduct, procedures, and professional standards in the practice of bioengineering. Authorship and mentoring, use of animal and human subjects, conflict of interest, ethical behavior in scientific research, intellectual property, and approval processes for drugs and biomedical devices. 2 graduate hours. No professional credit."
2018,Fall,BIOE 504,Analytical Methods in Bioeng,"Bioengineering course.Mathematical concept relating to modeling of physiological and bio-molecular processes and the instrumentation used to measure those processes. Review of matrix methods, probability, linear systems, and integral transforms. Singular value decomposition, Bayesian decision making, and linear system solutions to ordinary differential equations. Application of concepts to biosensor design and evaluation, tracer kinetic modeling, and filtering and curve-fitting approaches to forward modeling problems. Prerequisite: MATH 285."
2018,Fall,BIOE 505,Computational Bioengineering,Bioengineering course.Mathematical and statistical models plus accompanying computational techniques central to many aspects of systems biology and bioengineering research. Theory of supervised and unsupervised learning; linear models; dimension reduction; Monte Carlo computation; analysis of gene expression data and genome sequence data; modeling of gene transcription network signaling pathways. Same as Computer ScienceE 505. 4 graduate hours. No professional credit. Prerequisite: Statistics 400.
2018,Fall,BIOE 540,Algorithmic Genomic Biology,"Bioengineering course.The purpose of the course is to give each student enough background and training in the area of algorithmic genomic biology so that each will be able to do research in this area, and publish papers. The main focus of the course is phylogeny (evolutionary tree) estimation, multiple sequence alignment, and genome-scale phylogenetics, which are problems that present very interesting challenges from a computational and statistical standpoint. Time permitting, we will also discuss computational problems in microbiome analysis, protein function and structure prediction, genome assembly, and even historical linguistics. Students will learn the mathematical and computational foundations in these areas, read the current literature, and do a team research project. The course is designed for doctoral students in computer science, computer engineering, bioengineering, mathematics, and statistics, and does not depend on any prior background in biology. The technical material will depend on discrete algorithms, graph theory, simulations, and probabilistic analysis of algorithms. Same as Computer Science 581. 4 graduate hours. No professional credit. Prerequisite: Computer Science 374 and Computer Science 361/Statistics 361, or consent of instructor."
2018,Fall,BIOE 570,Seminar Series,"Bioengineering course.This is a seminar course.Guest topics will vary, but will typically cover topics of current interest relevant to the bioengineering field. Lecture and discussion on topics relevant to the development, regulatory approval, marketing, and application of systems used in the fields of biomedical imaging, life science research, and pharmaceutical discovery. Emphasis upon case studies on topics that will include regulatory approval, intellectual property, strategy, and technology innovation. 1 graduate hour. No professional credit. Approved for S/U grading only. May be repeated up to 2 hours in separate terms. Prerequisite: For students enrolled in the M.Eng. in Bioengineering degree program."
2018,Fall,BIOE 571,Biological Measurement I,"Bioengineering course.With special focus on medical imaging, this course will introduce fundamental concepts related to the detection and analysis of biological analytes, biomedical images, and physiological parameters. Topics include signal-to-noise analysis, noise characterization, data aliasing, analog-to-digital conversion, common strategies for noise reduction, exogenous contrast agents and fundamentals of molecular imaging. The fundamental phenomena behind biological measurements such as DNA sequencing, fluorescence microscopy. MRI imaging, OCT imaging, and ultrasound imaging will be discussed along with the factors that influence noise and contrast from the standpoint of fundamental physics, instrumentation/hardware, and post-measurement data/signal processing. 4 graduate hours. No professional credit. Prerequisite: For students enrolled in the M.Eng in Bioengineering degree program."
2018,Fall,BIOE 573,Managing Business Operations,"Bioengineering course.Introduction to fundamental principles of design, management, and improvement of business operations and product innovations. Strategies and techniques for managing processes, projects, process improvement and new product development. 4 graduate hours. No professional credit. Prerequisite: For students enrolled in the M.Eng in Bioengineering degree program."
2018,Fall,BIOE 597,Individual Study,Bioengineering course.Special project or reading activity. May be repeated. Prerequisite: Approved written application to department as specified by department or instructor.
2018,Fall,BIOE 598,Special Topics,"Bioengineering course.Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 12 hours, but no more than 8 in any one term."
2018,Fall,BIOE 599,Thesis Research,Bioengineering course. Bioengineering graduate thesis research. Approved for S/U grading only. May be repeated.
2018,Fall,CEE 195,About Civil Engineering,"Civil Engineering Course. Civil engineering orientation including historical developments, education requirements, relation to science, professional practice, and specialties within the profession."
2018,Fall,CEE 201,Systems Engrg & Economics,"Civil Engineering Course. Introduction to the formulation and solution of civil engineering problems. Major topics: engineering economy, mathematical modeling, and optimization. Application of techniques, including classical optimization, linear and nonlinear programming, network theory, critical path methods, simulation, decision theory, and dynamic programming to a variety of civil engineering problems. Credit is not given for both Construction Engineering 201 and Industrial Engineering 310. Prerequisite: MATH 231; credit or concurrent registration in MATH 225."
2018,Fall,CEE 202,Engineering Risk & Uncertainty,"Civil Engineering Course. Identification and modeling of non-deterministic problems in civil engineering design and decision making. Development of stochastic concepts and simulation models, and their relevance to real design and decision problems in various areas of civil engineering. Credit is not given for both Construction Engineering 202 and Industrial Engineering 300. Prerequisite: Recommended: Credit or concurrent registration in MATH 241."
2018,Fall,CEE 300,Behavior of Materials,"Civil Engineering Course. Macroscopic mechanical behavior in terms of phenomena at the nanometer and micrometer levels for the three types of engineering materials (metals, ceramics, and polymers) with emphasis on specific materials used in civil engineering -- steel, rocks, clay, portland cement concrete, asphaltic concrete, and wood. Same as TAM 324. Credit is not given for both Construction Engineering 300 and either Mechanical Engineering 330 or Material Science Engineering 280. Prerequisite: Completion of Composition I general education requirement; CHEM 104; TAM 251."
2018,Fall,CEE 310,Transportation Engineering,"Civil Engineering Course. Design, planning, operation, management, and maintenance of transportation systems; integrated multi-modal transportation systems (highways, air, rail, etc.); layout of highways, airports, and railroads with traffic flow models, capacity analysis, and safety. Design of facilities and systems with life cycle costing procedures and criteria for optimization. Prerequisite: TAM 251; credit or concurrent registration in Construction Engineering 202."
2018,Fall,CEE 320,Construction Engineering,"Civil Engineering Course. Construction engineering processes: contracting and bonding, planning and scheduling, estimating and project control, productivity models, and construction econometrics. Prerequisite: Construction Engineering 201; credit or concurrent registration in Computer Science 101 and Construction Engineering 202."
2018,Fall,CEE 330,Environmental Engineering,"Civil Engineering Course. Sources, characteristics, transport, and effects of air and water contaminants; biological, chemical, and physical processes in water; atmospheric structure and composition; unit operations for air and water quality control; solid waste management; environmental quality standards. Prerequisite: CHEM 104."
2018,Fall,CEE 340,Energy and Global Environment,"Civil Engineering Course. Introduction to evaluating multiple impacts of engineering decisions. Topics include mass and chemical balances; effects of engineered systems on local and global environment, health, and risk; economic, consumer, and social considerations; provision of conventional and renewable energy; and future projections. Design projects emphasize making appropriate decisions by quantifying total impact and evaluating social environment. Approved for both letter and S/U grading. Prerequisite: Physics 211; PHSY 213; Construction Engineering 201 or Industrial Engineering 310; Construction Engineering 202, Industrial Engineering 300, or Statistics 200; or permission of instructor. Construction Engineering students only."
2018,Fall,CEE 350,Water Resources Engineering,"Civil Engineering Course. Quantitative aspects of water in the earths environment and its engineering implications, including design and analysis of systems directly concerned with use and control of water; quantitative introduction to hydrology, hydraulic engineering, and water resources planning. Prerequisite: Construction Engineering 202; credit or concurrent registration in Construction Engineering 201."""
2018,Fall,CEE 360,Structural Engineering,"Civil Engineering Course. Analysis, behavior, and design of trusses and framed structures under static loads; member forces in trusses, shear and moment diagrams, deflections, simple applications of the force method and slope-deflection; computer applications. Prerequisite: TAM 251."
2018,Fall,CEE 380,Geotechnical Engineering,"Civil Engineering Course. Classification of soils, compaction in the laboratory and in the field, soil exploration, boring and sampling, permeability of soils, one-dimensional settlement analyses, strength of soil, and foundations. Prerequisite: TAM 251."
2018,Fall,CEE 398,Special Topics,Civil Engineering Course. Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Approved for letter and S/U grading. May be repeated in the same or separate terms if topics vary.
